Id,IDFANTASYSEASON,WEEK,IDFANTASYSUPPLIER,IDFANTASYPOSITION,IDFANTASYPLAYER,CREATED,CREATED_BY,UPDATED,UPDATED_BY
323,1,5,4,8,21,2022-11-06T17:39:40,JORTRI,2022-11-06T17:39:40,JORTRI
324,1,5,4,9,5,2022-11-06T17:39:40,JORTRI,2022-11-06T17:39:40,JORTRI
325,1,5,4,10,9,2022-11-06T17:39:40,JORTRI,2022-11-06T17:39:40,JORTRI
326,1,5,4,11,12,2022-11-06T17:39:40,JORTRI,2022-11-06T17:39:40,JORTRI
327,1,5,4,12,11,2022-11-06T17:39:40,JORTRI,2022-11-06T17:39:40,JORTRI
328,1,5,4,13,15,2022-11-06T17:39:40,JORTRI,2022-11-06T17:39:40,JORTRI
329,1,5,4,14,7,2022-11-06T17:39:40,JORTRI,2022-11-06T17:39:40,JORTRI
330,1,5,5,8,21,2022-11-06T17:40:26,JORTRI,2022-11-06T17:40:26,JORTRI
331,1,5,5,9,5,2022-11-06T17:40:26,JORTRI,2022-11-06T17:40:26,JORTRI
332,1,5,5,10,7,2022-11-06T17:40:26,JORTRI,2022-11-06T17:40:26,JORTRI
333,1,5,5,11,12,2022-11-06T17:40:26,JORTRI,2022-11-06T17:40:26,JORTRI
334,1,5,5,12,13,2022-11-06T17:40:26,JORTRI,2022-11-06T17:40:26,JORTRI
335,1,5,5,13,14,2022-11-06T17:40:26,JORTRI,2022-11-06T17:40:26,JORTRI
336,1,5,5,14,11,2022-11-06T17:40:26,JORTRI,2022-11-06T17:40:26,JORTRI
337,1,5,6,8,21,2022-11-06T17:41:13,JORTRI,2022-11-06T17:41:13,JORTRI
338,1,5,6,9,5,2022-11-06T17:41:13,JORTRI,2022-11-06T17:41:13,JORTRI
339,1,5,6,10,9,2022-11-06T17:41:13,JORTRI,2022-11-06T17:41:13,JORTRI
340,1,5,6,11,11,2022-11-06T17:41:13,JORTRI,2022-11-06T17:41:13,JORTRI
341,1,5,6,12,13,2022-11-06T17:41:13,JORTRI,2022-11-06T17:41:13,JORTRI
342,1,5,6,13,15,2022-11-06T17:41:13,JORTRI,2022-11-06T17:41:13,JORTRI
343,1,5,6,14,12,2022-11-06T17:41:13,JORTRI,2022-11-06T17:41:13,JORTRI
344,1,5,7,8,21,2022-11-06T17:42:12,JORTRI,2022-11-06T17:42:12,JORTRI
345,1,5,7,9,5,2022-11-06T17:42:12,JORTRI,2022-11-06T17:42:12,JORTRI
346,1,5,7,10,7,2022-11-06T17:42:12,JORTRI,2022-11-06T17:42:12,JORTRI
347,1,5,7,11,12,2022-11-06T17:42:12,JORTRI,2022-11-06T17:42:12,JORTRI
348,1,5,7,12,11,2022-11-06T17:42:12,JORTRI,2022-11-06T17:42:12,JORTRI
349,1,5,7,13,15,2022-11-06T17:42:12,JORTRI,2022-11-06T17:42:12,JORTRI
350,1,5,7,14,13,2022-11-06T17:42:12,JORTRI,2022-11-06T17:42:12,JORTRI
554,1,8,6,8,1,2022-11-06T18:23:30,JORTRI,2022-11-06T18:23:30,JORTRI
555,1,8,6,9,10,2022-11-06T18:23:30,JORTRI,2022-11-06T18:23:30,JORTRI
556,1,8,6,10,6,2022-11-06T18:23:30,JORTRI,2022-11-06T18:23:30,JORTRI
557,1,8,6,11,12,2022-11-06T18:23:30,JORTRI,2022-11-06T18:23:30,JORTRI
558,1,8,6,12,11,2022-11-06T18:23:30,JORTRI,2022-11-06T18:23:30,JORTRI
559,1,8,6,13,15,2022-11-06T18:23:30,JORTRI,2022-11-06T18:23:30,JORTRI
560,1,8,6,14,7,2022-11-06T18:23:30,JORTRI,2022-11-06T18:23:30,JORTRI
575,1,8,9,8,1,2022-11-06T18:25:23,JORTRI,2022-11-06T18:25:23,JORTRI
576,1,8,9,9,10,2022-11-06T18:25:23,JORTRI,2022-11-06T18:25:23,JORTRI
577,1,8,9,10,7,2022-11-06T18:25:23,JORTRI,2022-11-06T18:25:23,JORTRI
578,1,8,9,11,12,2022-11-06T18:25:23,JORTRI,2022-11-06T18:25:23,JORTRI
579,1,8,9,12,11,2022-11-06T18:25:23,JORTRI,2022-11-06T18:25:23,JORTRI
580,1,8,9,13,14,2022-11-06T18:25:23,JORTRI,2022-11-06T18:25:23,JORTRI
581,1,8,9,14,5,2022-11-06T18:25:23,JORTRI,2022-11-06T18:25:23,JORTRI
650,1,9,9,13,14,2022-11-06T18:39:32,JORTRI,2022-11-06T18:39:32,JORTRI
