Id,IDFANTASYSEASON,WEEK,IDFANTASYSUPPLIER,WINPOINT,CREATED,CREATED_BY,UPDATED,UPDATED_BY
210,1,14,7,5,2022-12-13T12:29:44,JORTRI,2022-12-13T12:29:44,JORTRI
213,1,14,3,0,2022-12-13T12:29:58,JORTRI,2022-12-13T12:29:58,JORTRI
228,1,15,5,0,2022-12-20T14:10:32,JORTRI,2022-12-20T14:10:32,JORTRI
231,1,15,2,5,2022-12-20T14:11:21,JORTRI,2022-12-20T14:11:21,JORTRI
248,1,16,4,5,2022-12-27T13:20:43,JORTRI,2022-12-27T13:20:43,JORTRI
250,1,16,3,0,2022-12-27T13:21:09,JORTRI,2022-12-27T13:21:09,JORTRI
251,1,16,1,0,2022-12-27T13:21:22,JORTRI,2022-12-27T13:21:22,JORTRI
253,1,16,9,0,2022-12-27T13:21:46,JORTRI,2022-12-27T13:21:46,JORTRI
76,1,5,3,0,2022-11-06T17:49:34,JORTRI,2022-11-06T17:49:34,JORTRI
35,1,1,2,5,2022-11-06T12:32:12,JORTRI,2022-11-06T12:32:12,JORTRI
30,1,1,3,5,2022-11-06T12:25:19,JORTRI,2022-11-06T12:25:19,JORTRI
36,1,1,4,10,2022-11-06T12:32:24,JORTRI,2022-11-06T12:32:24,JORTRI
38,1,1,6,5,2022-11-06T12:32:42,JORTRI,2022-11-06T12:32:42,JORTRI
39,1,1,7,5,2022-11-06T12:32:52,JORTRI,2022-11-06T12:32:52,JORTRI
41,1,1,9,5,2022-11-06T12:33:02,JORTRI,2022-11-06T12:33:02,JORTRI
42,1,1,10,0,2022-11-06T12:33:08,JORTRI,2022-11-06T12:33:08,JORTRI
46,1,2,4,0,2022-11-06T14:20:37,JORTRI,2022-11-06T14:20:37,JORTRI
49,1,2,7,0,2022-11-06T14:20:54,JORTRI,2022-11-06T14:20:54,JORTRI
52,1,2,10,0,2022-11-06T14:21:21,JORTRI,2022-11-06T14:21:21,JORTRI
75,1,5,2,5,2022-11-06T17:49:27,JORTRI,2022-11-06T17:49:27,JORTRI
