Id,IDFANTASYSEASON,WEEK,IDFANTASYPLAYER,FANTASYPOINTS,CREATED,CREATED_BY,UPDATED,UPDATED_BY
172,1,11,9,27.6,2022-11-21T13:38:31,JORTRI,2022-11-21T13:38:31,JORTRI
173,1,11,8,5.9,2022-11-21T13:38:31,JORTRI,2022-11-21T13:38:31,JORTRI
174,1,11,13,2.5,2022-11-21T13:38:31,JORTRI,2022-11-21T13:38:31,JORTRI
193,1,12,22,6.9,2022-11-29T08:42:02,JORTRI,2022-11-29T08:42:02,JORTRI
194,1,12,9,10.9,2022-11-29T08:42:02,JORTRI,2022-11-29T08:42:02,JORTRI
206,1,13,7,13.8,2022-12-05T13:03:45,JORTRI,2022-12-05T13:03:45,JORTRI
207,1,13,12,31.9,2022-12-05T13:04:05,JORTRI,2022-12-05T13:04:05,JORTRI
208,1,13,11,1.9,2022-12-05T13:04:25,JORTRI,2022-12-05T13:04:25,JORTRI
214,1,13,8,6,2022-12-05T13:08:27,JORTRI,2022-12-05T13:08:27,JORTRI
224,1,14,1,16.56,2022-12-13T12:25:36,JORTRI,2022-12-13T12:25:36,JORTRI
225,1,14,6,3.2,2022-12-13T12:28:00,JORTRI,2022-12-13T12:28:00,JORTRI
226,1,14,7,3,2022-12-13T12:28:00,JORTRI,2022-12-13T12:28:00,JORTRI
227,1,14,12,17,2022-12-13T12:28:00,JORTRI,2022-12-13T12:28:00,JORTRI
228,1,14,11,5.1,2022-12-13T12:28:00,JORTRI,2022-12-13T12:28:00,JORTRI
229,1,14,22,12.3,2022-12-13T12:28:00,JORTRI,2022-12-13T12:28:00,JORTRI
230,1,14,10,6.8,2022-12-13T12:28:00,JORTRI,2022-12-13T12:28:00,JORTRI
231,1,14,9,13,2022-12-13T12:28:00,JORTRI,2022-12-13T12:28:00,JORTRI
232,1,14,49,.6,2022-12-13T12:28:00,JORTRI,2022-12-13T12:28:00,JORTRI
233,1,14,13,23.6,2022-12-13T12:28:00,JORTRI,2022-12-13T12:28:00,JORTRI
245,1,15,5,20.6,2022-12-20T14:03:11,JORTRI,2022-12-20T14:03:11,JORTRI
246,1,15,10,23,2022-12-20T14:03:25,JORTRI,2022-12-20T14:03:25,JORTRI
247,1,15,12,27.1,2022-12-20T14:03:41,JORTRI,2022-12-20T14:03:41,JORTRI
253,1,15,9,14.6,2022-12-20T00:00:00,JORTRI,2022-12-20T14:06:27,JORTRI
255,1,15,7,24.8,2022-12-20T00:00:00,JORTRI,2022-12-20T14:07:08,JORTRI
265,1,16,10,27.3,2022-12-27T13:18:00,JORTRI,2022-12-27T13:18:00,JORTRI
266,1,16,7,3.3,2022-12-27T13:18:00,JORTRI,2022-12-27T13:18:00,JORTRI
267,1,16,12,16.3,2022-12-27T13:18:00,JORTRI,2022-12-27T13:18:00,JORTRI
268,1,16,69,9.8,2022-12-27T13:18:00,JORTRI,2022-12-27T13:18:00,JORTRI
269,1,16,5,5.4,2022-12-27T13:18:00,JORTRI,2022-12-27T13:18:00,JORTRI
270,1,16,4,9.86,2022-12-27T13:18:00,JORTRI,2022-12-27T13:18:00,JORTRI
271,1,16,6,14.2,2022-12-27T13:18:00,JORTRI,2022-12-27T13:18:00,JORTRI
131,1,9,1,19.14,2022-11-07T09:41:23,JORTRI,2022-11-07T09:41:23,JORTRI
23,1,1,24,7.8,2022-11-06T11:49:21,JORTRI,2022-11-06T11:49:21,JORTRI
24,1,1,12,25.5,2022-11-06T11:49:21,JORTRI,2022-11-06T11:49:21,JORTRI
28,1,1,5,10.6,2022-11-06T11:51:00,JORTRI,2022-11-06T11:51:00,JORTRI
29,1,1,13,3,2022-11-06T11:51:00,JORTRI,2022-11-06T11:51:00,JORTRI
30,1,1,11,17.7,2022-11-06T11:51:00,JORTRI,2022-11-06T11:51:00,JORTRI
88,1,8,1,13.48,2022-11-06T18:27:30,JORTRI,2022-11-06T18:27:30,JORTRI
